#TSV
#============Begin of sheet============
@Sheet=主次分支
ID	图片资源	分支小Icon	分支警句	挑战分支编号	能力分支编号	纪录分支编号	分支名称	默认等级	分支解锁类型	分支解锁值
0	small1a	small1	警句1	S	s	R	总星级	1	0	
1	small2a	small2	警句2	A	a	R	收藏	1	0	
2	small5a	small5	警句3	D	d	R	生产	1	0	
3	small4a	small4	警句4	C	c	R	艾露	1	0	
4	small7a	small7	警句5	H	h	R	武器	1	0	
5	small3a	small3	警句6	B	b	R	见闻	1	0	
6	small6a	small6	警句7	E	e	R	狩猎	1	0	
7	small8a	small8	警句8	F	f	R	猎团	1	0	
8	small9a	small9	警句9	G	g	R	竞争	0	2	999
#============End of sheet============

#============Begin of sheet============
@Sheet=分支等级
星级分支编号	等级	需要积分	日常积分上限
1	1	300	150
1	2	800	150
1	3	1700	150
1	4	8630	150
1	5	8630	150
2	1	100	150
2	2	300	150
2	3	700	150
2	4	2765	150
2	5	2765	150
3	1	100	150
3	2	300	150
3	3	500	150
3	4	1165	150
3	5	1165	150
4	1	100	150
4	2	300	150
4	3	500	150
4	4	5340	150
4	5	5340	150
5	1	100	150
5	2	300	150
5	3	500	150
5	4	1295	150
5	5	1295	150
6	1	200	150
6	2	500	150
6	3	1200	150
6	4	8585	150
6	5	8585	150
7	1	100	150
7	2	200	150
7	3	400	150
7	4	745	150
7	5	745	150
8	1	200	150
8	2	500	150
8	3	1000	150
8	4	9999	150
8	5	9999	150
#============End of sheet============

#============Begin of sheet============
@Sheet=总览数据
星级等级	FeatureTags	星级事项
1		完成主线任务[属于猎人的星]
2		完成挑战卡片《二星猎人》
2		取得500星级积分
3		完成挑战卡片《三星猎人》
3		取得1500星级积分
4		完成挑战卡片《四星猎人》
4		取得3500星级积分
5		完成挑战卡片《五星猎人》
5		取得7000星级积分
6		完成挑战卡片《六星猎人》
6		取得12000星级积分
#============End of sheet============

#============Begin of sheet============
@Sheet=挑战卡片
卡片编号	FeatureTags	卡片名称	是否有效	所属分支编号	旧挑战积分	挑战积分	关联成就	解锁猎人星级	解锁分支等级	解锁黄金猎人星级	解锁玩家等级	解锁玩家HR等级	解锁前置挑战卡片	挑战目标最少数量	挑战目标类型	挑战目标参数1	挑战目标参数2	挑战目标参数3	挑战目标参数4	目标值	物品奖励	物品奖励绑定类型	卡片序号	卡片图片	卡片描述	卡片标题	是否隐藏	卡片等级	卡片颜色	卡片警句编号	是否全服公告	是否不弹窗	卡片星级	显示类型	CardFinishedSimpleDesc
1251	14	21278	0			
1252	14	21274	0			
1253	14	21277	0			
1254	14	15663	0			
1255	14	15664	0			
1256	14	15665	0			
1257	14	15666	0			
1258	14	15667	0			
1259	14	15668	0			
1260	14	15669	0			
1261	14	15670	0			
1262	14	15671	0			
1263	14	16045	0			
1264	14	16046	0			
1265	14	16047	0			
1266	14	16048	0			
1267	14	16049	0			
1268	14	16050	0			
1269	14	15513	0			
1270	14	15514	0			
1271	14	15515	0			
1272	14	15516	0			
1273	14	15517	0			
1274	14	15518	0			
1275	14	16093	0			
1276	14	16094	0			
1277	14	16095	0			
1278	14	16096	0			
1279	14	16097	0			
1280	14	16098	0			
1281	14	16080	0			
1282	14	15603	0			
1283	14	15604	0			
1284	14	15605	0			
1285	14	15606	0			
1286	14	15607	0			
1287	14	15608	0			
1288	14	15609	0			
1289	14	15610	0			
1290	14	15573	0			
1291	14	15574	0			
1292	14	15575	0			
1293	14	15576	0			
1294	14	15577	0			
1295	14	15578	0			
1296	14	15579	0			
1297	14	16130	0			
1298	14	16131	0			
1299	14	16132	0			
1300	14	16133	0			
1301	14	16134	0			
1302	14	16137	0			
1303	14	16140	0			
1304	14	16113	0			
1305	14	16114	0			
1306	14	16115	0			
1307	14	16116	0			
1308	14	16117	0			
1309	14	16118	0			
1310	14	16119	0			
1311	14	21220	0			
1312	14	21221	0			
1313	14	21222	0			
1314	14	15420	0			
1315	14	21224	0			
1316	14	21225	0			
1317	14	15421	0			
1318	14	15422	0			
1319	14	15423	0			
1320	14	21223	0			
1321	14	15543	0			
1322	14	15544	0			
1323	14	15545	0			
1324	14	15546	0			
1325	14	15547	0			
1326	14	15548	0			
1327	14	16153	0			
1328	14	16154	0			
1329	14	16155	0			
1330	14	16167	0			
1331	14	16157	0			
1332	14	16158	0			
1333	14	16168	0			
1334	14	16169	0			
1335	14	16170	0			
1336	14	16156	0			
1337	14	15633	0			
1338	14	15634	0			
1339	14	15635	0			
1340	14	15636	0			
1341	14	15637	0			
1342	14	15207	0			
1343	14	15638	0			
1344	14	15693	0			
1345	14	15694	0			
1346	14	15695	0			
1347	14	15696	0			
1348	14	15697	0			
1349	14	15698	0			
1350	14	15699	0			
1351	14	15700	0			
1352	14	15701	0			
1353	14	16185	0			
1354	14	16186	0			
1355	14	16187	0			
1356	14	16188	0			
1357	14	16189	0			
1358	14	16190	0			
1359	14	16191	0			
1360	14	21297	0			
1361	14	21293	0			
1362	14	21294	0			
1363	14	21295	0			
1364	14	21296	0			
1365	14	15430	0			
1366	14	15431	0			
1367	14	21292	0			
1368	14	21300	0			
1369	14	16209	0			
1370	14	16205	0			
1371	14	16206	0			
1372	14	16207	0			
1373	14	16208	0			
1374	14	16217	0			
1375	14	16218	0			
1376	14	16204	0			
1377	14	16212	0			
1378	15	1001	0			
1379	15	1002	0			
1380	15	1003	0			
1381	15	1004	0			
1382	15	1005	0			
1383	15	1006	0			
1384	15	1007	0			
1385	15	1008	0			
1386	15	1009	0			
1387	15	1010	0			
1388	15	1011	0			
1389	15	1012	0			
1390	15	1013	0			
1391	15	1014	0			
1392	15	1015	0			
1393	15	1016	0			
1394	15	1017	0			
1395	15	1018	0			
1396	15	1019	0			
1397	15	1020	0			
1398	15	1021	0			
1399	15	1022	0			
1400	15	1023	0			
1401	15	1024	0			
1402	15	1025	0			
1403	15	1026	0			
1404	15	1027	0			
1405	15	1028	0			
1406	15	1029	0			
1407	15	1030	0			
1408	15	1031	0			
1409	15	1032	0			
1410	15	1033	0			
1411	15	1034	0			
1412	15	1035	0			
1413	15	1036	0			
1414	15	1037	0			
1415	301	0	0			
1416	305	13	0			
1417	305	14	0			
1418	305	15	0			
1419	305	16	0			
1420	306	1	0			
1421	306	2	0			
1422	306	3	0			
1423	306	4	0			
1424	306	5	0			
1425	306	7	0			
1426	306	8	0			
1427	903	0	0			
1428	304	0	0			
1429	533	0	0			
1430	15	248	0			
1431	14	90000	0			
1432	14	91000	0			
1433	14	91002	0			
1434	14	90001	0			
1435	14	91001	0			
1436	14	91003	0			
1437	14	90003	0			
1438	14	91012	0			
1439	14	91016	0			
1440	14	90005	0			
1441	14	91013	0			
1442	14	91017	0			
1443	14	90007	0			
1444	14	91014	0			
1445	14	91018	0			
1446	14	90009	0			
1447	14	91015	0			
1448	14	91019	0			
1449	14	90002	0			
1450	14	91004	0			
1451	14	91008	0			
1452	14	90004	0			
1453	14	91005	0			
1454	14	91009	0			
1455	14	90006	0			
1456	14	91006	0			
1457	14	91010	0			
1458	14	90008	0			
1459	14	91007	0			
1460	14	91011	0			
1461	14	90010	0			
1462	14	91020	0			
1463	14	91024	0			
1464	14	90012	0			
1465	14	91021	0			
1466	14	91025	0			
1467	14	90014	0			
1468	14	91022	0			
1469	14	91026	0			
1470	14	90016	0			
1471	14	91023	0			
1472	14	91027	0			
1473	14	90011	0			
1474	14	91028	0			
1475	14	91032	0			
1476	14	90013	0			
1477	14	91029	0			
1478	14	91033	0			
1479	14	90015	0			
1480	14	91030	0			
1481	14	91034	0			
1482	14	90017	0			
1483	14	91031	0			
1484	14	91035	0			
1485	15	117	0			
1486	15	118	0			
1487	15	119	0			
1488	15	120	0			
1489	15	121	0			
1490	15	122	0			
1491	15	123	0			
1492	15	124	0			
1493	15	125	0			
1494	15	126	0			
1495	15	127	0			
1496	15	128	0			
1497	15	129	0			
1498	15	130	0			
1499	15	131	0			
1500	15	132	0			
1501	15	133	0			
1502	15	134	0			
1503	15	135	0			
1504	15	136	0			
1505	15	137	0			
1506	15	138	0			
1507	15	139	0			
1508	15	140	0			
1509	15	141	0			
1510	15	142	0			
1511	15	143	0			
1512	15	144	0			
1513	15	145	0			
1514	15	146	0			
1515	15	147	0			
1516	15	148	0			
1517	15	149	0			
1518	15	150	0			
1519	15	151	0			
1520	15	152	0			
1521	15	153	0			
1522	15	154	0			
1523	15	155	0			
1524	15	156	0			
1525	15	157	0			
1526	15	158	0			
1527	15	159	0			
1528	15	160	0			
1529	15	161	0			
1530	15	162	0			
1531	15	163	0			
1532	15	164	0			
1533	15	165	0			
1534	15	166	0			
1535	15	167	0			
1536	15	168	0			
1537	15	169	0			
1538	15	170	0			
1539	15	171	0			
1540	15	172	0			
1541	15	173	0			
1542	15	174	0			
1543	15	175	0			
1544	15	176	0			
1545	15	177	0			
1546	15	178	0			
1547	15	179	0			
1548	15	181	0			
1549	15	182	0			
1550	15	183	0			
1551	15	184	0			
1552	15	185	0			
1553	15	186	0			
1554	15	187	0			
1555	15	188	0			
1556	15	189	0			
1557	15	190	0			
1558	15	191	0			
1559	15	192	0			
1560	15	193	0			
1561	15	194	0			
1562	15	195	0			
1563	15	196	0			
1564	15	197	0			
1565	15	198	0			
1566	15	199	0			
1567	15	200	0			
1568	15	201	0			
1569	15	202	0			
1570	15	203	0			
1571	15	204	0			
1572	15	205	0			
1573	15	206	0			
1574	15	207	0			
1575	15	208	0			
1576	15	212	0			
1577	15	214	0			
1578	15	217	0			
1579	15	220	0			
1580	15	223	0			
1581	15	226	0			
1582	15	229	0			
1583	15	232	0			
1584	15	233	0			
1585	15	234	0			
1586	15	235	0			
1587	15	236	0			
1588	15	237	0			
1589	15	238	0			
1590	15	239	0			
1591	15	240	0			
1592	15	241	0			
1593	15	242	0			
1594	15	243	0			
1595	15	244	0			
1596	15	245	0			
1597	15	246	0			
1598	15	247	0			
1599	15	4469	0			
1600	15	4470	0			
1601	15	4471	0			
1602	15	4472	0			
1603	15	4473	0			
1604	15	4474	0			
1605	914	0	0			
1606	914	1	0			
1607	914	2	0			
1608	914	3	0			
1609	914	4	0			
1610	914	5	0			
1611	12	0	0			
1612	12	4	0			
1613	12	1	0			
1614	12	5	0			
1615	12	2	0			
1616	12	3	0			
1617	202	32	0			
1618	16	0	0			
1619	16	1	0			
1620	14	760211	0			
1621	14	760221	0			
1622	14	760231	0			
1623	14	760241	0			
1624	14	760251	0			
1625	14	760911	0			
1626	14	760921	0			
1627	14	760931	0			
1628	14	760941	0			
1629	14	760951	0			
1630	14	761011	0			
1631	14	761021	0			
1632	14	761031	0			
1633	14	761041	0			
1634	14	761051	0			
1635	14	761161	0			
1636	14	761171	0			
1637	14	761181	0			
1638	14	761191	0			
1639	14	761201	0			
1640	11	1	0			
1641	15	4002	0			
1642	15	4021	0			
1643	15	4027	0			
1644	15	4028	0			
1645	15	4001	0			
1646	15	4007	0			
1647	15	4012	0			
1648	15	4019	0			
1649	15	4003	0			
1650	15	4008	0			
1651	15	4013	0			
1652	15	4017	0			
1653	15	4018	0			
1654	15	4020	0			
1655	15	4022	0			
1656	15	4023	0			
1657	405	24	0			
1658	405	25	0			
1659	405	26	0			
1660	407	1	0			
1661	407	1853	0			
1662	407	276	0			
1663	407	1857	0			
1664	407	277	0			
1665	407	1861	0			
1666	401	1	0			
1667	15	4033	0			
1668	15	4034	0			
1669	15	4029	0			
1670	15	4036	0			
1671	15	4037	0			
1672	15	4038	0			
1673	15	4030	0			
1674	15	4039	0			
1675	15	4044	0			
1676	15	4048	0			
1677	15	4031	0			
1678	15	4043	0			
1679	15	4032	0			
1680	15	4046	0			
1681	15	4047	0			
1682	15	4040	0			
1683	15	4041	0			
1684	15	4042	0			
1685	15	4035	0			
1686	407	6001	0			
1687	407	6011	0			
1688	407	21098	0			
1689	407	25	0			
1690	407	7	0			
1691	407	6	0			
1692	407	27	0			
1693	407	26	0			
1694	407	28	0			
1695	407	29	0			
1696	407	30	0			
1697	407	1845	0			
1698	407	3	0			
1699	407	31	0			
1700	401	2	0			
1701	15	4050	0			
1702	15	4051	0			
1703	15	4052	0			
1704	15	4053	0			
1705	15	4054	0			
1706	15	4055	0			
1707	15	4056	0			
1708	15	4057	0			
1709	15	4058	0			
1710	15	4059	0			
1711	15	4060	0			
1712	15	4061	0			
1713	15	4062	0			
1714	15	4063	0			
1715	15	4064	0			
1716	15	4065	0			
1717	15	4066	0			
1718	15	4067	0			
1719	15	4068	0			
1720	15	4069	0			
1721	15	4070	0			
1722	15	4071	0			
1723	15	4072	0			
1724	407	7004	0			
1725	407	7007	0			
1726	407	7010	0			
1727	407	7002	0			
1728	407	7005	0			
1729	407	7008	0			
1730	407	7011	0			
1731	407	7003	0			
1732	407	7006	0			
1733	407	7009	0			
1734	407	7012	0			
1735	407	21103	0			
1736	407	21104	0			
1737	407	21105	0			
1738	407	21106	0			
1739	407	21174	0			
1740	407	21175	0			
1741	410	2	0			
1742	410	3	0			
1743	410	4	0			
1744	401	3	0			
1745	15	4100	0			
1746	15	4101	0			
1747	15	4103	0			
1748	15	4104	0			
1749	15	4106	0			
1750	15	4115	0			
1751	15	4124	0			
1752	15	4127	0			
1753	15	4130	0			
1754	15	4136	0			
1755	15	4142	0			
1756	15	4148	0			
1757	15	4151	0			
1758	15	4157	0			
1759	15	4160	0			
1760	15	4163	0			
1761	15	4169	0			
1762	15	4172	0			
1763	15	4175	0			
1764	15	4181	0			
1765	15	4182	0			
1766	15	4193	0			
1767	15	4196	0			
1768	15	4199	0			
1769	15	4205	0			
1770	15	4214	0			
1771	15	4217	0			
1772	15	4220	0			
1773	15	4223	0			
1774	15	4226	0			
1775	15	4229	0			
1776	15	4232	0			
1777	15	4238	0			
1778	15	4241	0			
1779	15	4253	0			
1780	15	4256	0			
1781	15	4274	0			
1782	15	4280	0			
1783	15	4307	0			
1784	15	4322	0			
1785	15	4324	0			
1786	15	4326	0			
1787	15	4328	0			
1788	15	4331	0			
1789	15	4333	0			
1790	15	4335	0			
1791	15	4337	0			
1792	15	4339	0			
1793	15	4342	0			
1794	15	4344	0			
1795	15	4346	0			
1796	15	4348	0			
1797	15	4350	0			
1798	15	4354	0			
1799	15	4360	0			
1800	15	4361	0			
1801	15	4362	0			
1802	15	4363	0			
1803	15	4364	0			
1804	15	4365	0			
1805	15	4366	0			
1806	15	4367	0			
1807	15	4369	0			
1808	15	4371	0			
1809	15	4372	0			
1810	15	4373	0			
1811	15	4102	0			
1812	15	4105	0			
1813	15	4109	0			
1814	15	4143	0			
1815	15	4154	0			
1816	15	4166	0			
1817	15	4173	0			
1818	15	4183	0			
1819	15	4187	0			
1820	15	4200	0			
1821	15	4218	0			
1822	15	4221	0			
1823	15	4233	0			
1824	15	4239	0			
1825	15	4247	0			
1826	15	4254	0			
1827	15	4259	0			
1828	15	4329	0			
1829	15	4334	0			
1830	15	4336	0			
1831	15	4338	0			
1832	15	4340	0			
1833	15	4341	0			
1834	15	4343	0			
1835	15	4345	0			
1836	15	4352	0			
1837	15	4357	0			
1838	15	4358	0			
1839	15	4359	0			
1840	15	4368	0			
1841	15	4370	0			
1842	15	4152	0			
1843	15	4158	0			
1844	15	4170	0			
1845	15	4188	0			
1846	15	4215	0			
1847	15	4224	0			
1848	15	4227	0			
1849	15	4230	0			
1850	15	4242	0			
1851	15	4257	0			
1852	15	4260	0			
1853	15	4275	0			
1854	15	4281	0			
1855	15	4286	0			
1856	15	4301	0			
1857	15	4308	0			
1858	15	4323	0			
1859	15	4325	0			
1860	15	4327	0			
1861	15	4330	0			
1862	15	4332	0			
1863	15	4347	0			
1864	15	4349	0			
1865	15	4351	0			
1866	15	4353	0			
1867	15	4355	0			
1868	15	4356	0			
1869	521	2	0			
1870	1001	100102	0			
1871	1001	100112	0			
1872	1001	100202	0			
1873	1001	100212	0			
1874	1001	100302	0			
1875	1001	100222	0			
1876	1001	100312	0			
1877	1001	100402	0			
1878	1001	100412	0			
1879	1001	100322	0			
1880	1001	100332	0			
1881	1001	100422	0			
1882	1001	100512	0			
1883	1001	100502	0			
1884	1001	100742	0			
1885	1001	100622	0			
1886	1001	100612	0			
1887	1001	100722	0			
1888	1001	100712	0			
1889	1001	100702	0			
1890	1001	100802	0			
1891	1001	100602	0			
1892	908	100521	0			
1893	908	100901	0			
1894	528	3	0			
1895	529	3	4			
1896	908	100151	0			
1897	908	100153	0			
1898	908	100154	0			
1899	908	100155	0			
1900	908	100171	0			
1901	908	100251	0			
1902	908	100255	0			
1903	908	100256	0			
1904	908	100258	0			
1905	908	100259	0			
1906	908	100260	0			
1907	908	100351	0			
1908	908	100352	0			
1909	908	100353	0			
1910	908	100355	0			
1911	908	100356	0			
1912	908	100357	0			
1913	908	100453	0			
1914	908	100454	0			
1915	908	100455	0			
1916	908	100456	0			
1917	908	100457	0			
1918	908	100458	0			
1919	908	100461	0			
1920	908	100553	0			
1921	908	100554	0			
1922	908	100555	0			
1923	908	100651	0			
1924	908	100652	0			
1925	908	100653	0			
1926	908	100654	0			
1927	908	100661	0			
1928	908	100751	0			
1929	908	100754	0			
1930	908	100756	0			
1931	908	100757	0			
1932	908	100851	0			
1933	908	100852	0			
1934	908	100853	0			
1935	908	100854	0			
1936	908	100855	0			
1937	908	101152	0			
1938	908	101153	0			
1939	908	101154	0			
1940	908	101155	0			
1941	908	101158	0			
1942	908	101162	0			
1943	528	4	0			
1944	529	4	4			
1945	908	401402	0			
1946	908	404005	0			
1947	908	405002	0			
1948	908	100202	0			
1949	908	100102	0			
1950	908	100212	0			
1951	908	100222	0			
1952	908	100412	0			
1953	908	100312	0			
1954	908	100402	0			
1955	908	100322	0			
1956	908	100332	0			
1957	908	411401	0			
1958	908	211045	0			
1959	908	211046	0			
1960	908	100702	0			
1961	908	100422	0			
1962	908	100105	0			
1963	908	100705	0			
1964	908	100821	0			
1965	908	100631	0			
1966	908	100612	0			
1967	908	100512	0			
1968	908	100722	0			
1969	908	100712	0			
1970	908	100802	0			
1971	908	100502	0			
1972	908	100742	0			
1973	908	100622	0			
1974	908	100811	0			
1975	908	407005	0			
1976	908	100731	0			
1977	908	100707	0			
1978	908	414401	0			
1979	908	410401	0			
1980	908	214045	0			
1981	908	210045	0			
1982	908	101101	0			
1983	908	101411	0			
1984	908	101021	0			
1985	908	101027	0			
1986	908	101011	0			
1987	908	100341	0			
1988	908	101141	0			
1989	908	101139	0			
1990	908	100646	0			
1991	908	100641	0			
1992	908	101041	0			
1993	908	101106	0			
1994	908	101431	0			
1995	908	101046	0			
1996	908	101441	0			
1997	908	101421	0			
1998	908	101001	0			
1999	908	100748	0			
2000	908	101401	0			
2001	526	141000	0			
2002	526	141001	0			
2003	526	141002	0			
2004	526	141003	0			
2005	526	141004	0			
2006	526	141005	0			
2007	526	141006	0			
2008	917	0	0			
2009	19	0	0			
2010	915	1	0			
2011	915	2	0			
2012	915	3	0			
2013	915	4	0			
2014	915	5	0			
2015	915	6	0			
2016	915	7	0			
2017	915	12	0			
2018	915	8	0			
2019	915	9	0			
2020	915	11	0			
2021	915	10	0			
2022	1003	0	0			
2023	1004	0	0			
2024	21	0	0			
2025	15	1712	0			
2026	15	1713	0			
2027	15	1714	0			
2028	15	1723	0			
2029	15	1724	0			
2030	15	1725	0			
2031	15	1700	0			
2032	15	1701	0			
2033	15	1702	0			
2034	15	1717	0			
2035	15	1719	0			
2036	15	1720	0			
2037	15	1706	0			
2038	15	1707	0			
2039	15	1708	0			
2040	15	1729	0			
2041	15	1730	0			
2042	15	1732	0			
2043	15	1866	0			
2044	15	1868	0			
2045	15	1869	0			
2046	22	1	4			
2047	22	1	7			
2048	22	1	1			
2049	22	1	5			
2050	22	1	2			
2051	22	1	10			
2052	22	1	6			
2053	911	0				
2054	501	0				
2055	511	0				
2056	504	0				
2057	2	0				
2058	520	0				
2059	3	0				
2060	403	0				
2061	404	0				
2062	10	0				
2063	16	0				
2064	4	50				
2065	4	52				
2066	4	53				
2067	4	15				
2068	4	64				
2069	5	0				
2070	6	7				
2071	6	11				
2072	6	21				
2073	6	13				
2074	6	22				
2075	6	19				
2076	6	2				
2077	6	4				
2078	6	9				
2079	6	17				
2080	108	1				
2081	108	2				
2082	107	1				
2083	102	1				
2084	201	0				
2085	202	1				
2086	202	2				
2087	202	1024				
2088	202	16				
2089	202	128				
2090	301	0				
2091	903	0				
2092	302	0				
2093	304	0				
2094	303	1				
2095	303	2				
2096	303	3				
2097	303	4				
2098	303	5				
2099	401	1				
2100	401	2				
2101	401	3				
2102	11	1				
2103	11	2				
2104	11	3				
2105	11	5				
2106	11	6				
2107	11	7				
2108	11	8				
2109	11	12				
2110	12	0				
2111	12	1				
2112	12	2				
2113	12	3				
2114	12	4				
2115	12	5				
2116	521	1				
2117	521	2				
2118	502	60010				
2119	512	60010				
2120	502	60020				
2121	512	60020				
2122	502	60030				
2123	512	60030				
2124	502	60040				
2125	512	60040				
2126	502	60060				
2127	512	60060				
2128	502	60050				
2129	512	60050				
2130	502	60011				
2131	512	60011				
2132	502	60070				
2133	512	60070				
2134	502	60080				
2135	512	60080				
2136	502	60090				
2137	512	60090				
2138	502	60110				
2139	512	60110				
2140	502	60100				
2141	512	60100				
2142	502	60022				
2143	512	60022				
2144	502	60041				
2145	512	60041				
2146	502	60120				
2147	512	60120				
2148	502	60230				
2149	512	60230				
2150	502	60140				
2151	512	60140				
2152	502	60081				
2153	512	60081				
2154	502	60051				
2155	512	60051				
2156	502	60071				
2157	512	60071				
2158	502	60150				
2159	512	60150				
2160	502	60170				
2161	512	60170				
2162	502	60130				
2163	502	60024				
2164	512	60024				
2165	502	60091				
2166	512	60091				
2167	502	60152				
2168	512	60152				
2169	502	60260				
2170	502	60141				
2171	512	60141				
2172	502	60012				
2173	512	60012				
2174	502	60232				
2175	512	60232				
2176	502	60190				
2177	512	60190				
2178	502	60121				
2179	512	60121				
2180	502	60191				
2181	512	60191				
2182	502	60200				
2183	512	60200				
2184	502	60131				
2185	502	60202				
2186	512	60202				
2187	502	60210				
2188	512	60210				
2189	502	60218				
2190	512	60218				
2191	915	6				
2192	915	7				
2193	915	12				
2194	527	4				
2195	527	7				
2196	527	1				
2197	527	2				
2198	527	6				
2199	527	5				
2200	527	10				
2201	907	60010				
2202	1002	60010				
2203	15	3559	0			
2204	15	3527	0			
2205	15	3528	0			
2206	15	3503	0			
2207	15	3505	0			
2208	15	3507	0			
2209	15	3509	0			
2210	15	3556	0			
2211	15	3561	0			
2212	15	4150	0			
2213	15	4153	0			
2214	15	4189	0			
2215	15	4225	0			
2216	15	4302	0			
2217	15	4489	0			
2218	15	4496	0			
2219	15	3529	0			
2220	15	3531	0			
2221	15	3532	0			
2222	15	3533	0			
2223	14	80202	0			
2224	14	80212	0			
2225	14	80222	0			
2226	14	80232	0			
2227	14	80242	0			
2228	102	2	0			
2229	14	4848	25			
2230	502	60160				
2231	502	60180				
2232	502	60220				
2233	517	-2	60010			
2234	517	-1	60010			
2235	517	1	60010			
2236	517	2	60010			
2237	907	60020				
2238	1002	60020				
2239	517	-2	60020			
2240	517	-1	60020			
2241	517	1	60020			
2242	517	2	60020			
2243	907	60030				
2244	1002	60030				
2245	517	-2	60030			
2246	517	-1	60030			
2247	517	1	60030			
2248	517	2	60030			
2249	907	60040				
2250	1002	60040				
2251	517	-2	60040			
2252	517	-1	60040			
2253	517	1	60040			
2254	517	2	60040			
2255	907	60060				
2256	1002	60060				
2257	517	-2	60060			
2258	517	-1	60060			
2259	517	1	60060			
2260	517	2	60060			
2261	907	60050				
2262	1002	60050				
2263	517	-2	60050			
2264	517	-1	60050			
2265	517	1	60050			
2266	517	2	60050			
2267	907	60011				
2268	1002	60011				
2269	517	-2	60011			
2270	517	-1	60011			
2271	517	1	60011			
2272	517	2	60011			
2273	907	60070				
2274	1002	60070				
2275	517	-2	60070			
2276	517	-1	60070			
2277	517	1	60070			
2278	517	2	60070			
2279	907	60080				
2280	1002	60080				
2281	517	-2	60080			
2282	517	-1	60080			
2283	517	1	60080			
2284	517	2	60080			
2285	907	60090				
2286	1002	60090				
2287	517	-2	60090			
2288	517	-1	60090			
2289	517	1	60090			
2290	517	2	60090			
2291	907	60110				
2292	1002	60110				
2293	517	-2	60110			
2294	517	-1	60110			
2295	517	1	60110			
2296	517	2	60110			
2297	907	60100				
2298	1002	60100				
2299	517	-2	60100			
2300	517	-1	60100			
2301	517	1	60100			
2302	517	2	60100			
2303	907	60022				
2304	1002	60022				
2305	517	-2	60022			
2306	517	-1	60022			
2307	517	1	60022			
2308	517	2	60022			
2309	907	60041				
2310	1002	60041				
2311	517	-2	60041			
2312	517	-1	60041			
2313	517	1	60041			
2314	517	2	60041			
2315	907	60120				
2316	1002	60120				
2317	517	-2	60120			
2318	517	-1	60120			
2319	517	1	60120			
2320	517	2	60120			
2321	907	60230				
2322	1002	60230				
2323	517	-2	60230			
2324	517	-1	60230			
2325	517	1	60230			
2326	517	2	60230			
2327	907	60140				
2328	1002	60140				
2329	517	-2	60140			
2330	517	-1	60140			
2331	517	1	60140			
2332	517	2	60140			
2333	907	60081				
2334	1002	60081				
2335	517	-2	60081			
2336	517	-1	60081			
2337	517	1	60081			
2338	517	2	60081			
2339	907	60051				
2340	1002	60051				
2341	517	-2	60051			
2342	517	-1	60051			
2343	517	1	60051			
2344	517	2	60051			
2345	907	60071				
2346	1002	60071				
2347	517	-2	60071			
2348	517	-1	60071			
2349	517	1	60071			
2350	517	2	60071			
2351	907	60150				
2352	1002	60150				
2353	517	-2	60150			
2354	517	-1	60150			
2355	517	1	60150			
2356	517	2	60150			
2357	907	60170				
2358	1002	60170				
2359	517	-2	60170			
2360	517	-1	60170			
2361	517	1	60170			
2362	517	2	60170			
2363	907	60130				
2364	1002	60130				
2365	517	-2	60130			
2366	517	-1	60130			
2367	517	1	60130			
2368	517	2	60130			
2369	907	60024				
2370	1002	60024				
2371	517	-2	60024			
2372	517	-1	60024			
2373	517	1	60024			
2374	517	2	60024			
2375	907	60091				
2376	1002	60091				
2377	517	-2	60091			
2378	517	-1	60091			
2379	517	1	60091			
2380	517	2	60091			
2381	907	60152				
2382	1002	60152				
2383	517	-2	60152			
2384	517	-1	60152			
2385	517	1	60152			
2386	517	2	60152			
2387	907	60260				
2388	1002	60260				
2389	517	-2	60260			
2390	517	-1	60260			
2391	517	1	60260			
2392	517	2	60260			
2393	907	60141				
2394	1002	60141				
2395	517	-2	60141			
2396	517	-1	60141			
2397	517	1	60141			
2398	517	2	60141			
2399	907	60012				
2400	1002	60012				
2401	517	-2	60012			
2402	517	-1	60012			
2403	517	1	60012			
2404	517	2	60012			
2405	907	60232				
2406	1002	60232				
2407	517	-2	60232			
2408	517	-1	60232			
2409	517	1	60232			
2410	517	2	60232			
2411	907	60190				
2412	1002	60190				
2413	517	-2	60190			
2414	517	-1	60190			
2415	517	1	60190			
2416	517	2	60190			
2417	907	60121				
2418	1002	60121				
2419	517	-2	60121			
2420	517	-1	60121			
2421	517	1	60121			
2422	517	2	60121			
2423	907	60191				
2424	1002	60191				
2425	517	-2	60191			
2426	517	-1	60191			
2427	517	1	60191			
2428	517	2	60191			
2429	907	60200				
2430	1002	60200				
2431	517	-2	60200			
2432	517	-1	60200			
2433	517	1	60200			
2434	517	2	60200			
2435	907	60131				
2436	1002	60131				
2437	517	-2	60131			
2438	517	-1	60131			
2439	517	1	60131			
2440	517	2	60131			
2441	907	60202				
2442	1002	60202				
2443	517	-2	60202			
2444	517	-1	60202			
2445	517	1	60202			
2446	517	2	60202			
2447	907	60210				
2448	1002	60210				
2449	517	-2	60210			
2450	517	-1	60210			
2451	517	1	60210			
2452	517	2	60210			
2453	907	60218				
2454	1002	60218				
2455	517	-2	60218			
2456	517	-1	60218			
2457	517	1	60218			
2458	517	2	60218			
2459	51	0			2	
2460	52	0			2	
2461	53	0			2	
2462	54	0			2	
